id,f_valid,f_maxima,f_muyalta,f_alta,f_moderada,f_baja
284,1.0,0.688,0.0,0.002,0.039,0.271
285,1.0,0.446,0.0,0.005,0.381,0.168
286,1.0,0.12,0.0,0.0,0.436,0.444
287,1.0,0.133,0.001,0.007,0.354,0.504
288,1.0,0.127,0.248,0.039,0.552,0.035
289,1.0,0.016,0.116,0.207,0.635,0.027
290,1.0,0.021,0.189,0.213,0.561,0.016
291,1.0,0.044,0.168,0.09,0.319,0.378
292,1.0,0.816,0.0,0.0,0.102,0.082
293,1.0,0.576,0.0,0.01,0.05,0.364
294,0.723,0.353,0.0,0.003,0.05,0.594
295,1.0,0.249,0.001,0.002,0.039,0.709
296,0.936,0.095,0.0,0.006,0.002,0.896
297,0.901,0.341,0.012,0.028,0.058,0.56
298,0.928,0.245,0.116,0.11,0.251,0.278
299,1.0,0.678,0.02,0.026,0.164,0.112
300,1.0,0.881,0.0,0.027,0.092,0.0
301,1.0,1.0,0.0,0.0,0.0,0.0
302,1.0,1.0,0.0,0.0,0.0,0.0
303,1.0,1.0,0.0,0.0,0.0,0.0
304,1.0,1.0,0.0,0.0,0.0,0.0
305,1.0,1.0,0.0,0.0,0.0,0.0
306,1.0,0.995,0.0,0.005,0.0,0.0
307,1.0,0.746,0.0,0.095,0.003,0.156
308,1.0,0.376,0.0,0.047,0.0,0.577
309,1.0,0.106,0.0,0.007,0.0,0.887
310,1.0,0.058,0.0,0.215,0.004,0.723
311,1.0,0.04,0.0,0.001,0.0,0.959
312,1.0,0.02,0.0,0.278,0.003,0.699
313,1.0,0.041,0.0,0.286,0.002,0.671
314,1.0,0.035,0.0,0.0,0.007,0.958
315,1.0,0.041,0.0,0.001,0.011,0.947
316,1.0,0.446,0.0,0.004,0.045,0.505
317,1.0,0.485,0.0,0.0,0.0,0.515
318,1.0,0.052,0.0,0.0,0.001,0.947
319,1.0,0.023,0.0,0.0,0.001,0.976
320,1.0,0.037,0.0,0.018,0.076,0.869
321,1.0,0.034,0.0,0.0,0.0,0.966
322,1.0,0.082,0.0,0.002,0.024,0.892
323,1.0,0.023,0.0,0.025,0.037,0.915
324,1.0,0.107,0.0,0.01,0.002,0.882
325,1.0,0.163,0.001,0.0,0.028,0.808
326,1.0,0.082,0.0,0.0,0.0,0.918
327,1.0,0.012,0.0,0.0,0.008,0.98
328,1.0,0.034,0.0,0.0,0.0,0.966
329,1.0,0.016,0.0,0.0,0.011,0.973
330,1.0,0.093,0.0,0.0,0.002,0.905
331,1.0,0.327,0.0,0.0,0.001,0.672
332,1.0,0.2,0.0,0.0,0.015,0.785
333,1.0,0.481,0.0,0.0,0.009,0.51
334,1.0,0.727,0.0,0.0,0.0,0.273
335,1.0,0.226,0.0,0.0,0.06,0.713
336,1.0,0.382,0.0,0.003,0.013,0.603
337,1.0,0.207,0.0,0.003,0.0,0.79
338,1.0,0.055,0.0,0.145,0.0,0.8
339,1.0,0.312,0.0,0.231,0.001,0.456
340,1.0,0.344,0.0,0.0,0.039,0.616
341,1.0,0.612,0.0,0.0,0.068,0.32
342,1.0,0.31,0.0,0.003,0.047,0.64
343,1.0,0.204,0.0,0.002,0.126,0.668
344,1.0,0.375,0.0,0.001,0.125,0.5
345,1.0,0.017,0.0,0.007,0.557,0.418
346,1.0,0.017,0.0,0.014,0.8,0.17
347,1.0,0.022,0.0,0.005,0.405,0.569
348,1.0,0.043,0.0,0.0,0.168,0.789
349,1.0,0.027,0.0,0.002,0.274,0.697
350,0.976,0.071,0.0,0.003,0.236,0.69
351,1.0,0.24,0.0,0.156,0.064,0.54
352,1.0,0.18,0.0,0.016,0.181,0.623
353,1.0,0.024,0.009,0.172,0.209,0.586
354,1.0,0.012,0.0,0.036,0.054,0.898
355,1.0,0.218,0.001,0.016,0.047,0.719
356,1.0,0.198,0.0,0.168,0.324,0.31
357,1.0,0.437,0.0,0.258,0.305,0.0
358,1.0,0.746,0.0,0.017,0.237,0.0
359,1.0,0.901,0.0,0.038,0.06,0.0
360,1.0,0.938,0.0,0.028,0.034,0.0
361,1.0,0.857,0.0,0.075,0.067,0.0
362,1.0,0.955,0.0,0.006,0.028,0.01
363,1.0,0.451,0.0,0.0,0.0,0.549
364,1.0,0.449,0.0,0.0,0.0,0.551
365,1.0,0.348,0.0,0.0,0.0,0.652
366,1.0,0.13,0.0,0.0,0.0,0.87
367,1.0,0.072,0.0,0.0,0.004,0.924
368,1.0,0.013,0.0,0.335,0.001,0.65
369,1.0,0.012,0.0,0.325,0.0,0.662
370,1.0,0.03,0.0,0.0,0.03,0.939
371,1.0,0.028,0.0,0.165,0.275,0.532
372,1.0,0.465,0.0,0.301,0.007,0.227
373,1.0,0.978,0.0,0.0,0.0,0.022
374,1.0,0.566,0.0,0.0,0.0,0.434
375,1.0,0.03,0.0,0.0,0.0,0.97
376,1.0,0.022,0.0,0.0,0.001,0.977
377,1.0,0.138,0.0,0.001,0.01,0.85
378,1.0,0.124,0.0,0.0,0.005,0.871
379,1.0,0.068,0.0,0.0,0.034,0.898
380,1.0,0.025,0.0,0.0,0.002,0.973
381,1.0,0.451,0.0,0.001,0.003,0.545
382,1.0,0.479,0.0,0.001,0.0,0.52
383,1.0,0.012,0.0,0.0,0.012,0.975
384,1.0,0.016,0.0,0.0,0.0,0.984
385,1.0,0.008,0.0,0.0,0.003,0.989
386,1.0,0.037,0.0,0.007,0.013,0.944
387,1.0,0.276,0.0,0.008,0.017,0.699
388,1.0,0.287,0.0,0.0,0.002,0.712
389,1.0,0.454,0.0,0.0,0.011,0.536
390,1.0,0.929,0.0,0.0,0.001,0.07
391,1.0,0.838,0.0,0.002,0.001,0.159
392,1.0,0.097,0.002,0.107,0.027,0.767
393,1.0,0.11,0.081,0.057,0.169,0.583
394,1.0,0.021,0.0,0.036,0.028,0.915
395,1.0,0.701,0.0,0.0,0.0,0.299
396,1.0,1.0,0.0,0.0,0.0,0.0
397,1.0,0.917,0.0,0.0,0.036,0.047
398,1.0,0.389,0.0,0.019,0.352,0.24
399,1.0,0.083,0.0,0.004,0.62,0.293
400,1.0,0.1,0.0,0.024,0.489,0.387
401,1.0,0.038,0.0,0.064,0.622,0.276
402,1.0,0.031,0.0,0.018,0.776,0.174
403,1.0,0.046,0.0,0.0,0.25,0.704
404,1.0,0.041,0.0,0.004,0.371,0.583
405,1.0,0.179,0.0,0.002,0.144,0.675
406,1.0,0.52,0.0,0.001,0.156,0.323
407,0.985,0.473,0.0,0.0,0.107,0.419
408,0.627,1.0,0.0,0.0,0.0,0.0
409,1.0,0.899,0.0,0.093,0.004,0.004
410,1.0,0.178,0.0,0.683,0.033,0.106
411,1.0,0.019,0.0,0.383,0.06,0.538
412,1.0,0.042,0.0,0.0,0.025,0.933
413,1.0,0.032,0.0,0.0,0.258,0.709
414,1.0,0.053,0.0,0.006,0.092,0.848
415,1.0,0.065,0.0,0.015,0.918,0.002
416,1.0,0.033,0.0,0.008,0.959,0.0
417,1.0,0.108,0.0,0.271,0.621,0.0
418,1.0,0.041,0.0,0.53,0.429,0.0
419,1.0,0.018,0.0,0.719,0.263,0.0
420,1.0,0.1,0.0,0.584,0.227,0.089
421,1.0,0.049,0.0,0.389,0.002,0.561
422,1.0,0.326,0.0,0.049,0.0,0.625
423,1.0,0.341,0.0,0.0,0.0,0.658
424,1.0,0.065,0.0,0.0,0.0,0.934
425,1.0,0.072,0.0,0.0,0.002,0.926
426,1.0,0.036,0.0,0.11,0.065,0.789
427,1.0,0.02,0.0,0.332,0.199,0.449
428,1.0,0.01,0.002,0.13,0.522,0.336
429,1.0,0.023,0.0,0.053,0.335,0.589
430,1.0,0.005,0.0,0.008,0.007,0.98
431,1.0,0.398,0.0,0.217,0.0,0.386
432,1.0,0.327,0.0,0.002,0.0,0.671
433,1.0,0.005,0.0,0.019,0.001,0.975
434,1.0,0.044,0.0,0.06,0.002,0.895
435,1.0,0.026,0.0,0.012,0.013,0.95
436,1.0,0.061,0.0,0.0,0.0,0.939
437,1.0,0.027,0.0,0.0,0.0,0.973
438,1.0,0.189,0.0,0.0,0.012,0.799
439,1.0,0.929,0.0,0.0,0.007,0.064
440,1.0,0.59,0.0,0.001,0.008,0.402
441,1.0,0.021,0.0,0.014,0.016,0.949
442,1.0,0.018,0.0,0.0,0.005,0.978
443,1.0,0.05,0.0,0.037,0.005,0.908
444,1.0,0.05,0.0,0.006,0.01,0.934
445,1.0,0.026,0.0,0.015,0.009,0.95
446,1.0,0.213,0.0,0.0,0.005,0.782
447,1.0,0.164,0.0,0.0,0.003,0.833
448,1.0,0.018,0.0,0.0,0.004,0.978
449,1.0,0.075,0.007,0.498,0.002,0.418
450,1.0,0.019,0.003,0.57,0.002,0.406
451,1.0,0.037,0.371,0.085,0.065,0.442
452,1.0,0.012,0.228,0.524,0.047,0.189
