id,isa_val,eol_val,eol_dev,patch_ha
2504,6.93,4.98,0.606,483044
2505,7.02,5.21,0.605,483044
2506,6.49,5.95,0.506,483044
2507,7.29,5.29,0.606,483044
2508,5.49,0.46,0.06,483044
2509,5.98,1.29,0.16,483044
2510,6.29,2.13,0.259,16880
2511,6.84,3.54,0.432,16880
2512,3.97,0.15,0.018,16880
2513,1.95,0.0,0.0,4
2514,7.15,4.97,0.601,483044
2515,6.94,4.89,0.514,483044
2516,7.51,5.87,0.42,174608
2517,8.41,6.78,0.837,174608
2518,6.75,5.63,0.67,174608
2519,3.33,2.17,0.273,174608
2520,2.52,2.22,0.01,6168
2521,3.02,2.03,0.001,6168
2522,4.55,1.51,0.0,35064
2523,5.22,1.38,0.009,35064
2524,4.31,3.37,0.059,35064
2525,1.29,0.74,0.0,24
2526,0.16,0.15,0.0,0
2527,0.86,0.32,0.0,0
2528,0.81,0.24,0.0,252
2529,2.9,1.78,0.085,252
2530,3.59,1.36,0.129,1140
2531,5.17,1.93,0.22,634188
2532,4.27,2.79,0.345,634188
2533,7.56,3.71,0.417,634188
2534,8.89,3.94,0.436,634188
2535,8.33,6.53,0.751,634188
2536,6.93,4.47,0.524,634188
2537,6.77,3.23,0.393,634188
2538,7.41,3.17,0.332,634188
2539,8.19,4.32,0.46,634188
2540,8.25,5.3,0.585,634188
2541,5.87,3.39,0.419,634188
2542,1.37,0.64,0.048,634188
2543,1.84,0.89,0.0,1020
2544,0.0,0.0,0.0,0
2545,0.01,0.0,0.0,4
2546,0.1,0.03,0.004,9604
2547,6.07,2.79,0.31,9604
2548,3.39,0.66,0.071,1885384
2549,4.26,0.2,0.022,1885384
2550,1.98,0.31,0.035,1885384
2551,0.46,0.0,0.0,1885384
2552,6.0,1.76,0.189,1885384
2553,7.21,2.47,0.267,1885384
2554,7.32,3.67,0.408,1885384
2555,9.23,5.49,0.592,1885384
2556,8.05,4.44,0.344,1885384
2557,7.99,5.32,0.335,1885384
2558,9.29,7.32,0.744,1885384
2559,8.4,7.64,0.838,1885384
2560,4.42,3.57,0.401,1885384
2561,8.7,6.82,0.748,1885384
2562,9.17,8.49,0.917,1885384
2563,9.34,7.8,0.83,1885384
2564,8.32,7.16,0.803,1885384
2565,3.09,1.99,0.215,83904
2566,0.15,0.01,0.001,83904
2567,0.38,0.07,0.006,112
2568,0.65,0.26,0.028,476
2569,0.0,0.0,0.0,0
2570,0.76,0.61,0.039,220
2571,2.04,1.84,0.021,120
2572,4.51,3.52,0.261,2960
2573,5.96,5.32,0.231,265132
2574,7.89,7.1,0.723,265132
